vz box1,vz box2,N box1 average,N box1 std,N box2 average,N box2 std,N1 x N2 average,N1 x N2 std,g2 average,g2 std
50.0,50.0,0.04779411764705882,0.2301306896743133,0.04779411764705882,0.2301306896743133,0.05514705882352941,0.31048464532425024,3.2189349112426044,11305.258359778883
50.0,50.90909,0.04779411764705882,0.2301306896743133,0.14705882352941177,0.4253376821574478,0.016544117647058824,0.15384035961106088,2.353846153846154,25.571220647324157
50.0,51.81818,0.04779411764705882,0.2301306896743133,0.21323529411764705,0.5745760001025416,0.014705882352941176,0.12048362444362593,1.4429708222811672,14.253213415987805
50.0,52.72727,0.04779411764705882,0.2301306896743133,0.25735294117647056,0.5627651218629672,0.025735294117647058,0.24138834884536725,2.0923076923076924,22.529455175721885
50.0,53.63636,0.04779411764705882,0.2301306896743133,0.29963235294117646,0.6453687204978498,0.025735294117647058,0.3142992025659865,1.7970740915526193,23.906861544935552
50.0,54.54545,0.04779411764705882,0.2301306896743133,0.38419117647058826,0.803656519491775,0.04411764705882353,0.37642589920004216,2.4026499815973503,24.069805550733832
50.0,55.45455,0.04779411764705882,0.2301306896743133,0.4963235294117647,1.019146943193688,0.05330882352941176,0.41039451018743356,2.247293447293447,20.921197810067703
50.0,56.36364,0.04779411764705882,0.2301306896743133,0.5533088235294118,1.0321302722658254,0.06985294117647059,0.5065784336677427,2.64145157168413,23.515861292407653
50.0,57.27273,0.04779411764705882,0.2301306896743133,0.5716911764705882,1.2162224856723243,0.03860294117647059,0.3040225657858103,1.4128122681177346,13.383448642880632
50.0,58.18182,0.04779411764705882,0.2301306896743133,0.7408088235294118,1.4644051986564441,0.0625,0.7554284820739453,1.7652223706814278,23.23024007129725
50.0,59.09091,0.04779411764705882,0.2301306896743133,0.8400735294117647,1.5586073002840561,0.04595588235294118,0.31491792885996833,1.14458845312237,9.81848580741034
50.0,60.0,0.04779411764705882,0.2301306896743133,0.9099264705882353,1.6025913620674348,0.04044117647058824,0.4441357077742797,0.92991452991453,11.270652619665329
