vz box1,vz box2,N box1 average,N box1 std,N box2 average,N box2 std,N1 x N2 average,N1 x N2 std,g2 average,g2 std
50.0,50.0,0.051470588235294115,0.2293349482097562,0.06801470588235294,0.2662178170568486,0.051470588235294115,0.2733019684967229,0.0,inf
50.0,50.90909,0.051470588235294115,0.2293349482097562,0.14338235294117646,0.4308887908009626,0.01838235294117647,0.17066750368795935,2.4908424908424913,26.72087072697916
50.0,51.81818,0.051470588235294115,0.2293349482097562,0.2261029411764706,0.6147201945278797,0.01838235294117647,0.14751581037460212,1.5795586527293846,15.121159575584581
50.0,52.72727,0.051470588235294115,0.2293349482097562,0.2849264705882353,0.62312170365579,0.04779411764705882,0.3660484146675404,3.2589861751152074,29.743265706055677
50.0,53.63636,0.051470588235294115,0.2293349482097562,0.3474264705882353,0.7764209299815965,0.016544117647058824,0.1761628188633021,0.925170068027211,10.877274222820324
50.0,54.54545,0.051470588235294115,0.2293349482097562,0.43014705882352944,0.9493097116379449,0.03125,0.22897300539744123,1.4114774114774113,12.4985778215111
50.0,55.45455,0.051470588235294115,0.2293349482097562,0.4889705882352941,1.0563617881646006,0.04411764705882353,0.345828006492748,1.7529538131041893,16.25304367896323
50.0,56.36364,0.051470588235294115,0.2293349482097562,0.59375,1.0626929464066945,0.06066176470588235,0.40027191900395004,1.9849624060150377,16.198481727939683
50.0,57.27273,0.051470588235294115,0.2293349482097562,0.5992647058823529,1.2173089496808218,0.058823529411764705,0.4819344977745037,1.9070990359333917,18.20281242398462
50.0,58.18182,0.051470588235294115,0.2293349482097562,0.7408088235294118,1.3974813203518375,0.058823529411764705,0.5222801105924727,1.542715349166962,15.599273472573651
50.0,59.09091,0.051470588235294115,0.2293349482097562,0.8915441176470589,1.5899089604924241,0.04963235294117647,0.3201631906360942,1.0815905743740795,8.696184894788082
50.0,60.0,0.051470588235294115,0.2293349482097562,0.9577205882352942,1.7208651158156845,0.04963235294117647,0.5622565795718193,1.0068549492733754,12.38942008444357
50.0,60.90909,0.051470588235294115,0.2293349482097562,0.8841911764705882,1.5194891334708511,0.04595588235294118,0.40222929183065037,1.00980100980101,10.068303963637074
50.0,61.81818,0.051470588235294115,0.2293349482097562,0.7886029411764706,1.4708270172300348,0.04411764705882353,0.3350082500031068,1.086913086913087,9.781794306730783
50.0,62.72727,0.051470588235294115,0.2293349482097562,0.7647058823529411,1.3212265862981356,0.04044117647058824,0.3243077174730964,1.0274725274725278,9.591678336316138
